response,cv,region,identity,experience,date,ssyk1,vacancy,sent,ssyk
Ja,1,Stockholm,2,2,2018-09-07,5,1465,2018-09-09,5321
Ja,2,Stockholm,1,3,2018-09-07,5,1465,2018-09-10,5321
Ja,2,Stockholm,1,3,2018-08-08,5,1620,2018-08-07,5242
"",3,Stockholm,4,1,2018-08-08,5,1620,2018-08-08,5242
"",1,Stockholm,3,2,2018-08-08,5,1620,2018-08-09,5242
Ja,1,Stockholm,2,2,2018-03-26,5,2453,2018-03-25,5230
"",2,Stockholm,4,1,2018-03-26,5,2453,2018-03-26,5230
"",3,Stockholm,3,3,2018-03-26,5,2453,2018-03-27,5230
"",3,Stockholm,4,3,2018-03-22,5,770,2018-03-22,5343
"",1,Stockholm,3,2,2018-03-22,5,770,2018-03-23,5343
"",2,Stockholm,2,1,2018-03-22,5,770,2018-03-25,5343
"",1,Stockholm,4,1,2018-10-17,5,2239,2018-10-16,5343
"",2,Stockholm,1,1,2018-04-04,5,3030,2018-04-03,5343
"",3,Stockholm,2,2,2018-10-17,5,2239,2018-10-17,5343
"",1,Stockholm,4,2,2018-04-04,5,3030,2018-04-04,5343
"",2,Stockholm,1,3,2018-10-17,5,2239,2018-10-18,5343
"",3,Stockholm,3,3,2018-04-04,5,3030,2018-04-05,5343
"",2,Stockholm,1,1,2018-05-16,5,734,2018-05-15,5131
"",1,Stockholm,2,3,2018-05-16,5,734,2018-05-16,5131
"",3,Stockholm,4,2,2018-05-16,5,734,2018-05-17,5131
Ja,1,Stockholm,4,3,2018-09-21,5,233,2018-09-20,5330
"",2,Stockholm,1,2,2018-09-21,5,233,2018-09-23,5330
"",3,Stockholm,3,1,2018-09-21,5,233,2018-09-24,5330
"",3,Stockholm,4,1,2018-06-04,7,1041,2018-06-03,7522
"",1,Stockholm,1,3,2018-06-04,7,1041,2018-06-04,7522
"",2,Stockholm,3,2,2018-06-04,7,1041,2018-06-05,7522
"",1,Stockholm,2,3,2018-10-29,8,2561,2018-10-29,8213
"",3,Stockholm,4,2,2018-10-29,8,2561,2018-10-30,8213
"",2,Stockholm,3,1,2018-10-29,8,2561,2018-10-31,8213
"",2,Stockholm,2,1,2018-10-10,9,318,2018-10-09,9119
"",3,Stockholm,4,2,2018-10-10,9,318,2018-10-10,9119
"",1,Stockholm,1,3,2018-10-10,9,318,2018-10-11,9119
Ja,1,Stockholm,2,1,2018-03-22,9,2732,2018-03-22,9332
Ja,3,Stockholm,3,2,2018-03-22,9,2732,2018-03-23,9332
Ja,2,Stockholm,1,3,2018-03-22,9,2732,2018-03-25,9332
"",2,Stockholm,1,2,2018-04-10,9,645,2018-04-09,9412
"",1,Stockholm,3,3,2018-04-10,9,645,2018-04-10,9412
"",3,Stockholm,2,1,2018-04-10,9,645,2018-04-11,9412
"",2,Stockholm,2,3,2018-08-29,9,958,2018-08-28,9412
"",1,Stockholm,4,1,2018-08-29,9,958,2018-08-29,9412
"",3,Stockholm,1,2,2018-08-29,9,958,2018-08-30,9412
Ja,2,Stockholm,4,1,2018-03-22,3,1938,2018-03-22,3113
Intresserad,1,Stockholm,2,3,2018-03-22,3,1938,2018-03-23,3113
"",3,Stockholm,3,2,2018-03-22,3,1938,2018-03-25,3113
"",2,Stockholm,1,3,2018-08-08,5,2127,2018-08-07,5152
"",1,Stockholm,2,2,2018-08-08,5,2127,2018-08-08,5152
"",3,Stockholm,3,1,2018-08-08,5,2127,2018-08-09,5152
Nej,1,Stockholm,1,3,2018-04-25,5,2959,2018-04-24,5343
Nej,2,Stockholm,2,2,2018-04-25,5,2959,2018-04-25,5343
Nej,3,Stockholm,3,1,2018-04-25,5,2959,2018-04-26,5343
"",2,Stockholm,4,2,2018-05-28,8,1308,2018-05-27,8332
"",1,Stockholm,2,3,2018-05-28,8,1308,2018-05-28,8332
"",3,Stockholm,1,1,2018-05-28,8,1308,2018-05-29,8332
"",2,Stockholm,3,1,2018-05-25,8,1694,2018-05-24,8213
"",3,Stockholm,1,3,2018-05-25,8,1694,2018-05-27,8213
"",1,Stockholm,4,2,2018-05-25,8,1694,2018-05-28,8213
"",2,Stockholm,3,3,2018-04-30,9,1366,2018-04-29,9332
"",1,Stockholm,4,1,2018-04-30,9,1366,2018-04-30,9332
"",3,Stockholm,2,2,2018-04-30,9,1366,2018-05-01,9332
"",2,Stockholm,1,3,2018-10-22,9,2795,2018-10-21,9111
"",3,Stockholm,2,1,2018-10-22,9,2795,2018-10-22,9111
"",1,Stockholm,3,2,2018-10-22,9,2795,2018-10-23,9111
Intresserad,2,Stockholm,2,3,2018-03-26,3,1612,2018-03-25,3512
Intresserad,1,Stockholm,3,2,2018-03-26,3,1612,2018-03-26,3512
